6-digit,Proposed mapping
831116,FOOD_Food Workers
831117,FOOD_Food Workers
831118,FOOD_Food Workers
831199,FOOD_Food Workers
831211,FOOD_Food Workers
831212,FOOD_Food Workers
831311,FOOD_Food Workers
831312,FOOD_Food Workers
831313,FOOD_Food Workers
832111,FOOD_Food Workers
832113,FOOD_Food Workers
832114,FOOD_Food Workers
832115,FOOD_Food Workers
832211,"IMAR_Industrial Manufacturing, Assembly and Repair"
839211,RUBB_Rubber or Plastic Industry
839212,RUBB_Rubber or Plastic Industry
839313,LABC_Lab worker Chemist
839411,"IMAR_Industrial Manufacturing, Assembly and repair"
839412,FORE_Forestry Timbermill
839413,"IMAR_Industrial Manufacturing, Assembly and repair"
839911,"IMAR_Industrial Manufacturing, Assembly and Repair"
839912,CHEM_Chemical Pharmaceutical Manufacturing
839913,CERA_Ceramics Glass Production
839914,TEXT_Textiles
839915,SHOE_Shoes and leather goods
839916,CERA_Ceramics Glass Production
839917,LEAT_Leather tanning
839918,WAMA_Waste management
839999,"IMAR_Industrial Manufacturing, Assembly and Repair"
842111,FARM_Farmer
842211,FARM_Farmer
842212,FARM_Farmer
842213,FARM_Farmer
842214,FARM_Farmer
842215,FARM_Farmer
842216,FARM_Farmer
842217,FARM_Farmer
842218,FARM_Farmer
842221,FARM_Farmer
842222,FARM_Farmer
842299,FARM_Farmer
842311,FARM_Farmer
842312,FARM_Farmer
842313,FARM_Farmer
842314,FARM_Farmer
842315,FARM_Farmer
842316,FARM_Farmer
842317,FARM_Farmer
842318,FARM_Farmer
842321,FARM_Farmer
842399,FARM_Farmer
842411,FARM_Farmer
842499,FARM_Farmer
843111,FORE_Forestry Timbermill
843112,FORE_Forestry Timbermill
843113,FORE_Forestry Timbermill
843211,GARD_Gardener Groundskeeper
843311,FARM_Farmer
843411,PEST_Pesticide users
843911,ANIM_Animal Worker
843912,GARD_Gardener Groundskeeper
843999,GARD_Gardener Groundskeeper
851111,FOOD_Food Workers
851211,FOOD_Food Workers
851299,FOOD_Food Workers
851311,FOOD_Food Workers
891111,STOR_Store person
891112,DRIV_Driver
891113,STOR_Store person
891211,STOR_Store person
899111,JANI_Caretaker/Janitor
899211,SHIP_Shipping/Fishing
899212,SHIP_Shipping/Fishing
899311,JANI_Caretaker/Janitor
899411,MECH_Mechanic/Panel Beater
899412,MECH_Mechanic/Panel Beater
899413,MECH_Mechanic/Panel Beater
899414,MECH_Mechanic/Panel Beater
899415,MECH_Mechanic/Panel Beater
899511,PRIN_Printing
899512,PRIN_Printing
899611,WAMA_Waste Management
899711,RDSD_Roadside Worker
899911,MECH_Mechanic/Panel beater
899912,RDSD_Roadside worker
899913,RDSD_Roadside worker
899914,LINE_Power Station/Power Line Worker
899915,RDSD_Roadside worker
899916,MECH_Mechanic/Panel beater
899917,RAIL_Railway
899918,RDSD_Roadside worker
899921,RETA_Retail Workers
899922,RDSD_Roadside worker
899923,RDSD_Roadside worker
